Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2023-05-17,0.1637350132590846,0.02151702786377709,4158.77,0.01182066016444788,1,1,0.01182066016444788,0.01182066016444788,1.055616342339255,1.0506646707279617,-0.05011867684285622,0.01182066016444788
2023-05-18,0.167791947722435,0.012603980986333928,4198.05,0.009400774284705668,1,1,0.009400774284705668,0.009400774284705668,1.0650171166239608,1.0600654450126674,-0.040717902558150554,0.009400774284705668
2023-05-19,-0.004456491632895036,0.006966726084373143,4191.98,-0.001446955746059144,1,1,-0.001446955746059144,-0.001446955746059144,1.0635701608779016,1.0586184892666082,-0.0421648583042097,-0.001446955746059144
2023-05-22,-0.0882337583649543,-0.002477480518527158,4192.63,0.0001550459714410593,-1,1,-0.0001550459714410593,0.0001550459714410593,1.0637252068493426,1.0584634432951672,-0.04200981233276864,9.303527494859032e-05
2023-05-23,-0.4086500518023968,-0.020284576534576538,4145.58,-0.011285515564489972,-1,-1,0.011285515564489972,0.011285515564489972,1.0524396912848526,1.0697489588596572,-0.030724296768278668,-0.006730369176606804
2023-05-24,-0.12104112572140163,0.0,4115.24,-0.007345550785867146,-1,-1,0.007345550785867146,0.007345550785867146,1.0450941404989855,1.0770945096455242,-0.023378745982411523,-0.004390013450245919
2023-05-25,-0.03708524443209171,-0.029040404040404037,4151.28,0.008719564785563249,-1,-1,-0.008719564785563249,-0.008719564785563249,1.0538137052845489,1.0683749448599609,-0.03209831076797477,0.005255983898087194
2023-05-26,-0.06330712402568144,-2.12206094559317e-06,4205.45,0.01296458273531355,-1,-1,-0.01296458273531355,-0.01296458273531355,1.0667782880198624,1.0554103621246473,-0.04506289350328832,0.007832256576245708
2023-05-30,0.1578182979271962,-0.007829670329670328,4205.52,1.6644929182328236e-05,-1,-1,-1.6644929182328236e-05,-1.6644929182328236e-05,1.0667949329490447,1.055393717195465,-0.04507953843247065,9.987046165900607e-06
2023-05-31,-0.3025009712347618,-0.04142011834319526,4179.83,-0.006127372232971846,1,-1,-0.006127372232971846,0.006127372232971846,1.060667560716073,1.0492663449624933,-0.0389521661994988,-0.006127372232971846
